"","V1","V2","V3"
"1","AA","DIA","-0.000805762155685535"
"2","AXP","DIA","1.6580740359508"
"3","BA","DIA","0.000130479535479926"
"4","BAC","DIA","1.23618247079325"
"5","CAT","DIA","7.95638086702029e-05"
"6","CSCO","DIA","1.23138385051332"
"7","DD","DIA","-0.000741963331692063"
"8","DIS","DIA","1.88314116869383"
"9","HD","DIA","-0.000675003462396872"
"10","HPQ","DIA","1.46438181789534"
"11","IBM","DIA","-0.000321823384581034"
"12","INTC","DIA","1.08604482460659"
"13","JNJ","DIA","-0.000234537703241005"
"14","JPM","DIA","1.24162650127953"
"15","KO","DIA","0.000297675250070618"
"16","MCD","DIA","1.23013406168751"
"17","MMM","DIA","0.000544941006595584"
"18","MRK","DIA","0.943925446020108"
"19","MSFT","DIA","-0.000844379417794312"
"20","PFE","DIA","1.29866460866987"
"21","PG","DIA","-0.000193529283100153"
"22","T","DIA","0.928004011863805"
"23","TRV","DIA","5.1242326490402e-05"
"24","UTX","DIA","0.992223723484282"
"25","VZ","DIA","0.000220093353816276"
"26","WMT","DIA","0.686815375063631"
"27","XOM","DIA","-0.000403751447802575"
